"category","company","year","fraud","ac_recv","ac_recv_to_Sales","ta","tl","az_score","debt_equity","fixedAsset_ta","gross_margin","roe","inv_to_sales","sales","ppe_ta","sales_ta","int_earned","total_accruals_ta","td_ta"
"constructioncontractingcivil","MI37",11,"no",181.98,0.351367006487488,809.58,218.59,3.78013107692503,-0.558626956082786,0.118283554435633,0.57145891257337,0.134517920242302,0.0288461538461538,517.92,0.118283554435633,0.639739123990217,173.428571428571,0.0678252921267818,-0.341732750314978
"pesticidesagrochemicals","MI39",15,"no",24.7,0.0451859575947167,686.41,224.23,3.7630583570752,-0.400983089787086,0.127984732157166,0.745056070834019,0.283974033606711,0.466677643012641,546.63,0.127984732157166,0.796360775629726,370.90243902439,0.174851764980114,-0.218673970367565
"pesticidesagrochemicals","MI39",14,"no",33.01,0.0573867389868224,699.79,266.79,3.46395168306158,-0.225573294629898,0.126466511381986,0.766159034804075,0.356719883889695,0.29418309516359,575.22,0.126466511381986,0.821989453979051,317.647058823529,-0.011131911001872,-0.111047599994284
"pesticidesagrochemicals","MI39",13,"no",41.23,0.0944472442387868,683.2,186.62,3.71916790034013,-0.541946885278091,0.130503512880562,0.806844733586842,0.165283982131461,0.319283456269758,436.54,0.130503512880562,0.638963700234192,119,-0.0211065573770492,-0.323185011709602
"pesticidesagrochemicals","MI39",12,"no",50.27,0.136610685363335,619,142.62,3.98847786748749,-0.62897057675798,0.148610662358643,0.787678678189032,0.130570514321392,0.352410457090059,367.98,0.148610662358643,0.594474959612278,55.5546875,-0.0196607431340872,-0.390581583198708
"pesticidesagrochemicals","MI39",11,"no",40.85,0.114023335008095,576.5,109.46,4.54769267312894,-0.707576405214789,0.160832610581093,0.826550549879975,0.114420816413764,0.363758164461564,358.26,0.160832610581093,0.62143972246314,250.714285714286,-0.0470771899392888,-0.459427580225499
"leatherproducts","MI46",15,"no",43.33,0.0513565087530075,967.35,344.4,2.40177366082741,0.102044734568494,0.32091797177857,0.564957153524315,0.163706761383636,0.266928209929952,843.71,0.32091797177857,0.872186902362123,3.70501399847289,-0.0192484622938957,0.0329663513723057
"leatherproducts","MI46",14,"no",42.02,0.0647018970189702,931.05,329.2,2.11574395796747,0.148839644041179,0.338649911390366,0.600086228135009,0.151352294538475,0.294946415373245,649.44,0.338649911390366,0.697535041082649,3.8809375,0.0208366897588744,0.0458084957843295
"leatherproducts","MI46",13,"no",32.55,0.0559913303746517,787.4,254.66,2.29537681640435,0.0134108002706037,0.35744221488443,0.606030894141122,0.17286800111425,0.237898647951285,581.34,0.35744221488443,0.738303276606553,3.70319923978461,-0.031750063500127,0.00427990855981713
"leatherproducts","MI46",12,"no",36.96,0.0728649160160871,700.05,251.97,2.06053626945957,0.218482518497026,0.344675380329976,0.578286412743475,0.170752937762948,0.251242015613911,507.24,0.344675380329976,0.724576815941719,3.26470588235294,-0.0065852439111492,0.0645382472680523
"leatherproducts","MI46",11,"no",31.22,0.0723354958294717,584.77,202.6,2.21297722304604,0.134696163539625,0.348205277288507,0.590963855421687,0.219490338840661,0.242632066728452,431.6,0.348205277288507,0.738067958342596,5.16351118760757,0.0310378439386426,0.0411272808112591
